,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Flood Risk 2022,Flood Hazard 2022,Flood Risk 2030,Flood Hazard 2030,Flood Risk 2050,Flood Hazard 2050,Extrem Heat Risk 2022,Extrem Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050
34,0f5edcbe-c4ca-46e3-8e24-ba9832fd0733,f70d4941-861d-4242-bf83-be5bc2cdcd4c,8f77cf28-625a-4b90-85b4-99997934e0b4,1b05c42a-59fe-46ae-88d9-c4ac971fc6af,,19260,Liberty Tower,818 N. Quincy Street,Arlington,VA,Arlington,22203,Washington DC,VA-Arlington-RB Corridor,1,2008,High-Rise,235,38.880331,-77.107594,220812.0,PRIMARY_USE_FOOD_SERVICE,338,21.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Low,High,Low,High,Very Low,Moderately High,Very Low,High
35,761ce306-9e89-48f5-a847-a172ba44d629,ff3af2b3-ad41-487c-b796-82a39c4849a9,6aeaa239-bdbd-4e51-b27a-cb8a05bbc829,7099ca64-2d8b-48b3-ae33-d7cf07e222de,,19264,1111 Belle Pre,1111 Belle Pre Way,Alexandria,VA,Alexandria,22314,Washington DC,VA-Alexandria,2,2013,Mid & High Rises,360,38.81373,-77.049876,295165.0,PRIMARY_USE_FOOD_SERVICE,485,7.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
36,2460a627-97ce-4d34-b067-ac20fdfc75b7,f1fc36ba-a3ad-436a-9d02-edef954d4143,dd22b7e4-90fd-4cc1-aa39-c00d19c13bdf,d82c762a-327e-4191-ad0b-952fa1735bfa,,19276,777 6th Avenue,777 Sixth Avenue,New York,NY,New York,10001,New York - Manhattan,Manhattan-Chelsea,1,2002,High-Rise,294,40.744981,-73.991288,199571.0,PRIMARY_USE_RETAIL,325,32.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
37,1846960c-068a-4408-a986-74fe0c4a5854,012adbf1-fd44-47de-8e9d-5db1dc0cdca3,b66b8a77-8dbb-4ce0-8d4d-4790f8e27720,0dc862ee-f373-4279-adc8-7bfb7836c015,,19278,Longacre House,305 West 50th Street,New York,NY,New York,10019,New York - Manhattan,Manhattan-Midtown/West,1,1998,High-Rise,293,40.762352,-73.986258,206944.0,PRIMARY_USE_RETAIL,317,26.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
38,df851f93-d0ae-4484-992b-76dfc98e0ea1,555c1c30-c12b-4d34-858b-b34a3dfee61e,c9d43a04-0f3e-41f5-ae09-fe6f3dca9425,08fa72cb-547e-4151-8da3-bfd7f2409d96,,19288,425 Mass,425 Massachusetts Ave NW,Washington,DC,,20001,Washington DC,DC-Central,2,2009,High-Rise,559,38.900411,-77.016821,485693.0,PRIMARY_USE_RESIDENTIAL,645,19.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Very Low,Moderately High,Very Low,High
39,d75e765c-5b62-4d93-b29f-b5ed4946c69f,cdd1eace-72ec-46d9-9c45-a6e9e3edf7da,cae2b810-cce2-4ad4-966a-342e1452d679,b5b2813e-367d-46bf-8f29-9e553d30e2a7,,19306,1401 Joyce on Pentagon Row,1401 South Joyce Street,Arlington,VA,Arlington,22202,Washington DC,VA-South Arlington,1,2004,High-Rise,326,38.861441,-77.063089,283583.0,PRIMARY_USE_RESIDENTIAL,451,18.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low,High,Low-Medium,Very High,Low-Medium,Very High,Very Low,Moderately High,Very Low,High
40,d22ea075-ecd4-4749-8708-57d9c44aa7b0,bd74ef67-5711-48c8-bc87-cfb11ce68323,b7d7ce27-7b60-48b3-a0aa-42fa500da996,1140ac4f-ac78-4be8-8618-01b37dd707a9,,19337,Third Square,285 Third Street,Cambridge,MA,Middlesex,2142,Boston,MA-Cambridge,1,2008,Mid-Rise,292,42.364727,-71.083302,262857.0,PRIMARY_USE_RESIDENTIAL,418,10.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,High,Very Low,Very High,Low,Very High,Very Low,Moderately High,Very Low,Moderately High
41,82579883-6a5d-4d58-950c-60ecce868bfc,8e6db642-5d5f-4e32-88e6-c983a97d910d,4a913062-3661-4a07-be66-5489853968e2,6eb5a08d-9b48-4ba7-ba3e-f6f4d5d34abb,,19369,The Brooklyner,111 Lawrence Street,Brooklyn,NY,Kings County,11201,New York - Manhattan,Brooklyn,1,2010,High-Rise,490,40.692632,-73.986236,314648.0,PRIMARY_USE_RESIDENTIAL,564,52.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
42,b351ffe7-de83-4be6-9c8a-8d661c84f2c0,212c8a31-9451-4ed1-af00-f3fd63aad73d,082f2e65-92cc-4a34-a89b-6e097bfe8420,6c4d5e26-7f5d-4cce-ac70-f825e6bfc0cc,,19372,175 Kent,175 Kent Ave,Brooklyn,NY,Kings,11211,New York - Manhattan,Brooklyn,1,2011,Mid-Rise,113,40.718208,-73.963652,86178.0,PRIMARY_USE_SCHOOL,144,8.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
43,f7a2d5c8-15e2-4ba0-b60b-87a4595c8e6b,82fe3334-f59f-46e6-b0cc-d980c23e24bb,5c7d979b-5d43-40a8-b65f-1100a0749672,d711efea-73b7-4f2a-9ad6-e8073d6f3028,,19373,Rosecliff II,790 Willard Street,Quincy,MA,Norfolk,2169,Boston,128 South,2,2005,Garden,130,42.229554,-71.030012,135450.0,PRIMARY_USE_RESIDENTIAL,200,1.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
