,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Wildfire Risk 2022,Wildfire Risk 2050,Flood Risk 2022,Flood Risk 2030,Flood Risk 2050
63,6bbcb5b0-c960-4220-8b2e-807de14dc865,320dbe82-ee94-4921-924c-34fe01c6aafd,b7a85f2d-8537-4905-bb5f-80d1e2153500,067094e7-6275-40ab-8d2d-9dd1c757329e,,29458,Walden Park,205 Walden Street,Cambridge,MA,Middlesex,2140,Boston,MA-Cambridge,2,1966,Mid-Rise,232,42.38673331,-71.12937828,-1,PRIMARY_USE_RESIDENTIAL,284,7.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
64,ad7cbd0c-8472-4849-b496-327bf25a591d,9f2fc0fc-7dec-4097-968c-7e5dfd7faa8a,b283bbff-d6a5-4447-9f95-8ad5b04924c2,aeae2829-b554-4ca9-ac38-f1c17ecc1eda,,29573,One India Street,1 India St,Boston,MA,Suffolk,2109,Boston,City of Boston,1,1901,Mid-Rise,94,42.359001,-71.054189,-1,PRIMARY_USE_RETAIL,136,12.5,Very Low,Very Low,Very Low,Low-Medium,Low-Medium,Medium
65,f43becae-00c9-4f59-b7e2-51f64ae7beee,a21bb330-fac3-467b-8018-70b0234c095f,bd9a3237-b74a-40a9-bbf2-ed19ed1e2390,2f1ed780-cc22-4e9c-80ae-1be55cd1458f,,29616,The Cleo,345 S. Alexandria Ave,Los Angeles,CA,Los Angeles,90020,Los Angeles,Hollywood/Mid Wilshire,1,1989,Mid-Rise,92,34.06820152,-118.2979475,-1,NONE,157,6.0,Low-Medium,Very Low,Very Low,Very Low,Very Low,Very Low
66,97be1458-ad6e-48ed-8559-06cf034c924e,92afe242-1e0e-4825-a50f-0b89909c4bcc,7d63ea38-6a8f-4eda-95b6-6a1601b232b0,cd5d4adf-39fd-43a1-b04b-9c28fedca235,,29629,Belle Fontaine,4077 Glencoe Avenue,Marina del Rey,CA,Los Angeles,90292,Los Angeles,West Los Angeles,2,2003,Mid-Rise,102,33.989666,-118.443153,-1,NONE,153,4.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
67,9f08d20b-d538-46f5-a77d-daf9431dd5fb,3f7fb03f-3a42-4557-8c46-47c35144deab,66205ebf-7059-459f-b7d9-1ff538200a25,8cf67128-eba0-473a-9d2d-b0873b58b363,,29637,Milano Lofts,609 South Grand Avenue,Los Angeles,CA,Los Angeles,90017,Los Angeles,Downtown CBD,1,1925,High-Rise,99,34.048694,-118.255676,-1,PRIMARY_USE_FOOD_SERVICE,104,14.0,Medium,Very Low,Very Low,Low-Medium,Low-Medium,Low-Medium
68,11cf4cb5-1859-44c8-89b1-95dbac669067,c250e413-926c-4763-835d-6afa0354f8c7,318a49d8-48d2-4d6f-bb3f-cc1644a0e23c,ff6223cd-6f9a-4efa-ae56-a4850176ea1e,,29662,Altitude,5900 Center Drive,Los Angeles,CA,Los Angeles,90045,Los Angeles,West Los Angeles,2,2016,Mid-Rise,545,33.976164,-118.389171,-1,PRIMARY_USE_RESIDENTIAL,668,8.0,Very Low,Very Low,Very Low,Low-Medium,Low-Medium,Low-Medium
69,3e4fd6ae-9b2a-4401-9539-878e01a1af9f,6da58320-515a-4fbc-8fb5-857dc7ab9577,90524912-b656-47c2-8a26-1673f9cb8a55,fa5fc3a4-1367-47d3-bd71-04de75171773,,29677,The Hesby,5031 Fair Ave,North Hollywood,CA,Los Angeles,91601,Los Angeles,San Fernando Valley,2,2013,Mid-Rise,308,34.161544,-118.374508,-1,NONE,465,6.0,Very Low,Very Low,Very Low,Low,Low,Low
70,c10ef42f-4b81-49b7-82c0-34cdd9ae093f,9875e8f6-e436-40fe-bc87-5197356a7b96,f1030b84-6c6a-45fa-b306-f09085a53fea,fac3b49a-c86a-4d99-b841-33c58ec4b24f,,29741,Pearl MDR (CA),4111 Via Marina,Marina Del Rey,CA,Los Angeles,90292,Los Angeles,West Los Angeles,15,1966,Garden,597,33.981046,-118.460232,-1,PRIMARY_USE_FOOD_SERVICE,701,3.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
71,11a53907-83f7-4503-90be-97cfec2c06d7,8718fb82-35a6-4782-825c-6247061128b4,25260dc1-93cc-40de-9b1f-7e84de90ce6a,20680d6d-60b0-4fc6-bea6-d6e67bc1bea7,,29801,Watertown Square,20 Watertown St.,Watertown,MA,Middlesex,2472,Boston,128 West,1,2005,Mid-Rise,134,42.3643,-71.1874,-1,PRIMARY_USE_RETAIL,185,5.0,Not Assessed,Very Low,Very Low,Medium-High,Medium-High,Medium-High
72,3c743122-e5d7-45cf-ade1-f94631dfcd41,955e4d7c-6c7c-4d28-843a-2e51a9e21869,fb9b4e64-b345-44c9-987a-8d428ab4008a,5173289c-9590-45be-9799-d6ddb57293ff,,29802,Cronins Landing,237 Moody Street,Waltham,MA,Middlesex,2453,Boston,128 West,1,1998,High-Rise,281,42.372296,-71.236948,-1,PRIMARY_USE_HEALTHCARE,480,6.0,Very Low,Very Low,Very Low,Medium,Medium,Medium
73,85d498e3-9b88-4b65-8132-2ca7d4a42e8e,4a94ab99-918c-4464-8b73-4a68768a5f57,e662a19e-344e-486b-a607-77b46cd53186,259eab8e-7d3b-43a5-8d93-78b8174c837d,,29803,660 Washington,660 Washington St.,Boston,MA,Suffolk,2111,Boston,City of Boston,1,2006,High-Rise,420,42.351792,-71.062443,-1,PRIMARY_USE_RETAIL,569,30.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
74,a2cbbfde-49aa-4e8f-ba9f-360fbf72ba98,c400633c-4dde-414f-9cd8-29172a5950bf,26bf83b7-00c5-4eee-b2d3-76d7f3c46d5e,286fb1c5-ebf2-4e51-b5dc-b1c946ade0d4,,29805,Lofts at Kendall Square,249 Third Street,Cambridge,MA,Middlesex,2142,Boston,MA-Cambridge,1,1898,Mid-Rise,186,42.366835,-71.082164,-1,NONE,-1,-1.0,Very Low,Very Low,Very Low,Low,Very Low,Low-Medium
